"track_id","track_name","track_artist","track_popularity","track_album_id","track_album_name","track_album_release_date","playlist_name","playlist_id","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
"3a94DkjR4idw3bp8yzai59","Mambo No. 5 (A Little Bit of...)","Lou Bega",10,"0F2v1g7RUEmK077TfZGeoS","Ultimate Holiday Hits","2008-07-25","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.614,0.799,5,-6.95,0,0.382,0.0971,0,0.313,0.9,174.114,219333
"24CXuh2WNpgeSYUOvz14jk","Sandstorm - Radio Edit","Darude",61,"3EWyQlR8LFyu6FImQT49bv","Before The Storm","2007-04-18","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.539,0.98,11,-8.18,0,0.0469,0.169,0.982,0.084,0.522,136.087,225373
"77j9HOrxUpWcjwra9jgvio","We like to Party! (Six Flags)","Vengaboys",51,"0R44mmTKUE1XCuGVVrPfTZ","We like to Party! (The Vengabus)","1998","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.785,0.905,8,-7.929,1,0.0449,0.00803,0.859,0.046,0.969,136.018,224227
"6rQ9qJPvInEqSzlh89LsPJ","Coco Jamboo - Radio Version","Mr. President",18,"2t8Bc4qBseswbwOoHGHK8d","We See The Same Sun","1996","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.832,0.838,1,-5.414,0,0.0421,0.0791,0,0.152,0.965,100.019,218733
"5FgtdSf7I5lClThz2ptWvl","Blue (Da Ba Dee)","Eiffel 65",16,"65DySolRDG1LNSvRXcWQWN","Europop","1999","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.822,0.969,7,-11.471,0,0.0582,0.259,0.000162,0.39,0.765,128.007,283748
"2ZCTP54O2dMSbVrdsg60to","Barbie Girl","Aqua",5,"2vb252Haz9iX4iOd7vP8kX","Greatest Hits","2009-01-01","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.764,0.948,1,-4.355,0,0.0402,0.00929,0.0773,0.416,0.911,129.967,195040
"2ahnofp2LbBWDXcJbMaSTu","What Is Love","Haddaway",70,"0qTVjeVP70YvQG4GctetOf","What is Love - Remix","1993","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.683,0.772,7,-7.907,0,0.0311,0.0222,0.0149,0.203,0.737,123.871,270373
"0wP3e5PzSxafy2TRtlayq9","Scatman (ski-ba-bop-ba-dop-bop)","Scatman John",10,"0lZJ8KTq6WzIrOM1KWWCxe","Scatman's World","1995-06-01","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.65,0.82,5,-10.9,0,0.0356,0.0655,0.00274,0.215,0.757,135.982,215973
"7cG3wfohoNDSp2M8FWrgTg","Bailando - Video Edit","Paradisio",59,"3iJwt0Sq44ZBzR7kNCxf0y","Bailando","1996","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.649,0.955,8,-7.817,0,0.0388,0.0941,0.00899,0.108,0.83,132.993,229627
"1bttWPpJQmn9zdi951BcAZ","Be My Lover","La Bouche",13,"4iRt5STyQudfgvq3Gt2ki6","50 Summer Hits","2009-06-11","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.657,0.913,1,-7.108,0,0.0313,0.000236,0,0.862,0.827,134.774,239747
"7znm8mn8oac6FKfmLuvPZa","The Riddle (Original Mix)","Gigi D'Agostino",48,"5MJTJqEYDDTXhA0qriUnB8","The Riddle","2014-05-30","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.744,0.868,6,-6.844,0,0.0367,0.0242,0.00211,0.0753,0.851,126.99,287307
"3MjUtNVVq3C8Fn0MP3zhXa","...Baby One More Time","Britney Spears",75,"3WNxdumkSMGMJRhEgK80qx","...Baby One More Time (Digital Deluxe Version)","1999-01-12","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,211067
"5dle7lDSqNS2AcFtbvgkud","Rhythm Is A Dancer - 12'' Version","SNAP!",12,"5NZ0wQA1HzBSDSyOWEU96k","Rhythm Is A Dancer Volume 08","1991","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.768,0.874,9,-7.303,0,0.034,0.117,0.0628,0.0842,0.839,124.251,316133
"0MhkdVUCf8ZttUXzZ3J9J6","Another Night","Real McCoy",2,"3lH40SlojmDYl4muKywyoa","Ultimate Club Dance 90s - Vol. 2","2000-01-01","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.812,0.889,7,-7.769,1,0.0394,0.11,0.00323,0.065,0.872,125.943,236871
"5rDsAMjmB4Qa5WNciJPsfK","Tubthumping","Chumbawamba",53,"6DUy5QdkKXI15NFbk3pYAZ","Playlist: 90s Pop","2008-04-28","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.394,0.944,2,-8.082,1,0.181,0.0906,0,0.473,0.616,207.687,234133
"12BbMJsJi65mxneq6c9Lm7","All That She Wants - Remastered","Ace of Base",16,"6cpOIdpPfGaazHsh5eYz0k","Happy Nation (Remastered)","1994-01-01","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,211213
"3L9RIFcNF9IDGPRE96EO7N","The Rhythm Of The Night","Corona",56,"385wsbH2dVjZDB9rdVOHUH","Disco 90's","2009-03-16","90s Dance Hits","50cXvxgMGrvoUeLhkzCyIO","pop","dance pop",0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,264280
